7,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,CAN,UW_ID0,8,NONE,0,gcmd_ppt_multiple_fire,1,1,0,ID0,CAN ID with Length Encoded
1,CAN,UW_ID1,8,NONE,0,gcmd_ppt_multiple_fire,1,1,0,ID1,CAN ID with Length Encoded
2,CAN,UW_ID2,8,NONE,0,gcmd_ppt_multiple_fire,1,1,0,ID2,CAN ID with Length Encoded
3,CAN,UW_ID3,8,NONE,0,gcmd_ppt_multiple_fire,1,1,0,ID3,CAN ID with Length Encoded
4,CAN,count,8,-,0,gcmd_ppt_multiple_fire,1,2,0,count,How many times to fire,
5,CAN,override,1,-,0,gcmd_ppt_multiple_fire,1,3,0,override,Ppt fire override,
6,CAN,JUNK,55,NONE,0,gcmd_ppt_multiple_fire,1,4,0,Junk,Unexpected bytes at the end of the CAN Packet
