5,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,CAN,UW_ID,32,NONE,0,rc_ppt_1,1,1,0,ID,CAN ID with Length Encoded
1,CAN,fault_count,16,-,0,rc_ppt_1,1,2,0,fault_count,PPT fault count,
2,CAN,fire_count,16,-,0,rc_ppt_1,1,3,0,fire_count,Total number of times the PPT has fired,
3,CAN,last_main_charge,16,2^-15 seconds,0,rc_ppt_1,1,4,0,last_main_charge,Main Charge Time Average,
4,CAN,smt_wait_time,16,2^-15 seconds,0,rc_ppt_1,1,5,0,smt_wait_time,No description provided,
