6,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,CAN,UW_ID,32,NONE,0,cmd_mtq_fsw,1,1,0,ID,CAN ID with Length Encoded
1,CAN,sc_mode,8,-,0,cmd_mtq_fsw,1,2,0,sc_mode,overall satellite state,
2,CAN,x,8,pct doodie,0,cmd_mtq_fsw,1,3,0,x,bdot command for x direction,
3,CAN,y,8,pct doodie,0,cmd_mtq_fsw,1,4,0,y,bdot command for y direction,
4,CAN,z,8,pct doodie,0,cmd_mtq_fsw,1,5,0,z,bdot command for z direction,
5,CAN,JUNK,32,NONE,0,cmd_mtq_fsw,1,6,0,Junk,Unexpected bytes at the end of the CAN Packet
