6,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,CAN,UW_ID,32,NONE,0,sensorproc_sun,1,1,0,ID,CAN ID with Length Encoded
1,CAN,valid,1,bool,0,sensorproc_sun,1,2,0,valid,Sun Angle Validity,
2,CAN,x,16,-,0,sensorproc_sun,1,3,0,x,Sun Angle x,
3,CAN,y,16,-,0,sensorproc_sun,1,4,0,y,Sun Angle y,
4,CAN,z,16,-,0,sensorproc_sun,1,5,0,z,Sun Angle z,
5,CAN,JUNK,15,NONE,0,sensorproc_sun,1,6,0,Junk,Unexpected bytes at the end of the CAN Packet
