3,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,CAN,UW_ID,32,NONE,0,tle_3,1,1,0,ID,CAN ID with Length Encoded
1,CAN,ecc,32,-,0,tle_3,1,2,0,ecc,TLE Eccentricity,
2,CAN,inc,32,rad,0,tle_3,1,3,0,inc,TLE Orbital inclination,
