0,-140
1054,-127
1201,-121
1291,-118
1370,-115
1453,-112
1534,-109
1607,-106
1671,-103
1736,-100
1867,-95
1997,-90
2087,-85
2125,-80
2128,-77
2129,-75
2128,-70
2123,-65
4096,-65
